NID,Time,EventName,DisasterType,Lon,Lat,C_Name,T_Name,Address,situation,TOWN_ID
155501,2016-9-27 11:16,梅姬颱風,slope slump,121.203146,24.181895,南投縣,仁愛鄉,南投縣仁愛鄉翠華村,翠華村華岡水源地農路1.8k處坍方。,1000813
146372,2016-9-27 11:11,梅姬颱風,road blockage,121.149845,24.053675,南投縣,仁愛鄉,南投縣仁愛鄉大同村,投89線力行產業道路4k處土石流。,1000813
146387,2016-9-27 11:09,梅姬颱風,road blockage,120.921051,24.471049,苗栗縣,泰安鄉,苗栗縣泰安鄉八卦村,"八卦聯絡道星宿露營區旁上邊坡土石滑落,目前單向通行",1000518
146402,2016-9-27 11:06,梅姬颱風,road blockage,120.942383,24.359204,苗栗縣,泰安鄉,苗栗縣泰安鄉象鼻村,"象鼻村大安聯絡道路象鼻吊橋落石,車輛無法通行,己責成廠商前往清除",1000518
146734,2016-9-27 10:01,梅姬颱風,debris flow,121.139316,24.584118,新竹縣,五峰鄉,新竹縣五峰鄉,竹122縣34.3K坍方,1000413
162612,2016-9-27 10:01,梅姬颱風,debris flow,121.139316,24.584118,新竹縣,五峰鄉,新竹縣五峰鄉,竹122縣34.3K坍方 ==================== 竹122縣34.3K坍方 ,1000413
146818,2016-9-27 09:45,梅姬颱風,road blockage,121.065313,24.672556,新竹縣,北埔鄉,新竹縣北埔鄉,已納入災害搶修搶險工程開口契約辦理.,1000409
146826,2016-9-27 09:41,梅姬颱風,debris flow,121.139316,24.584118,新竹縣,五峰鄉,新竹縣五峰鄉,竹122縣34.3K坍方,1000413
146861,2016-9-27 09:27,梅姬颱風,slope slump,121.371546,24.807266,桃園市,復興區,桃園市復興區霞雲里,07:00桃112線1.3km處再次落石，僅單向通行。,6801300
162616,2016-9-27 09:26,梅姬颱風,roadbed loss,120.947562,24.819581,新竹市,北區,新竹市北區南隘路二段109號對面,路面掏空,1001802
146871,2016-9-27 09:24,梅姬颱風,roadbed loss,121.267412,23.130918,花蓮縣,富里鄉,花蓮縣富里鄉豐南村14鄰27之1號,花82線道路上下邊坡均有滑落情形,1001510
146916,2016-9-27 09:10,梅姬颱風,slope slump,121.382167,24.789832,桃園市,復興區,桃園市復興區義盛里,義盛里7鄰部落和平橋前土石滑落，影響里民通行。影響住戶1戶2人。,6801300
146933,2016-9-27 09:02,梅姬颱風,debris flow,121.139316,24.584118,新竹縣,五峰鄉,新竹縣五峰鄉,和平仙湖露營區附近人車無法通過,1000413
146936,2016-9-27 09:00,梅姬颱風,debris flow,121.139316,24.584118,新竹縣,五峰鄉,新竹縣五峰鄉,南清道路37.5k落石,1000413
146948,2016-9-27 08:57,梅姬颱風,debris flow,121.139316,24.584118,新竹縣,五峰鄉,新竹縣五峰鄉,茅圃產業道路(涼山道)落石坍方,1000413
146120,2016-9-27 00:46,梅姬颱風,roadbed loss,121.4977,25.02033,臺北市,萬華區,萬大路456號,該處有2個坑洞,6300700
146172,2016-9-26 20:20,梅姬颱風,slope slump,121.371675,24.807538,桃園市,復興區,桃園市復興區霞雲里,112線1.2km處落石土石崩落僅單向通行。 ==================== 桃112線清龍谷土石崩落，影響交通僅單向通行。 ,6801300
146200,2016-9-26 16:43,梅姬颱風,roadbed loss,120.407228,23.657446,雲林縣,大埤鄉,雲林縣大埤鄉聯美村聯美大橋附近聯美堤防,大埤鄉聯美村聯美堤防上方道路發現掏空一處，堤防里程2K*700，面積約1平方公尺，深度約2公尺。本所已做警示設施，已通知五河局辦理改善。第五河川局於9月26日下午9時30分左右已填補路面完成，,1000908
143001,2016-9-15 13:47,莫蘭蒂颱風,debris flow,120.389581,22.594468,高雄市,大寮區,高雄市大寮區內坑路109-47號,住家後私人山坡地滑落,6401400
143089,2016-9-15 13:33,莫蘭蒂颱風,rock fall,120.391898,22.658713,高雄市,鳥松區,高雄市鳥松區華美里中山西路公園後方,高雄市鳥松區華美里中山西路公園後方土石崩落,6401800
143366,2016-9-15 12:34,莫蘭蒂颱風,road blockage,118.321348,24.429636,金門縣,金城鎮,金門縣金城鎮東門里31鄰環島西路38號,莒光橋紅綠燈掉落，再往轉進去前往莒光樓前面路上有兩棵大樹路倒影響交通,902001
141398,2016-9-15 12:10,莫蘭蒂颱風,road blockage,121.482525,22.6457,臺東縣,綠島鄉,臺東縣綠島鄉南寮村,沙石及浮木推基於環島公路上,1001411
141520,2016-9-15 11:37,莫蘭蒂颱風,roadbed loss,120.349282,22.742972,高雄市,大社區,高雄市大社區保社里中正路325號,民眾通報本區保社里中正路325號前路基淘空，影響通行安全，請派員處理。,6401600
141693,2016-9-15 11:11,莫蘭蒂颱風,roadbed loss,120.163225,22.985509,臺南市,安平區,臺南市安平區,安億橋上(北往南方向)道路有坑洞,6703600
142200,2016-9-15 10:01,莫蘭蒂颱風,roadbed loss,120.324304,22.631243,高雄市,苓雅區,高雄市苓雅區正言里16鄰大順三路62號,"大順三路近家樂福馬路有一約長120?60淘空,請填補",6400800
140993,2016-9-15 08:13,莫蘭蒂颱風,rock fall,120.732632,22.078157,屏東縣,車城鄉,屏東縣車城鄉統埔往四重溪方向,2016/09/15 08:13:36 - 道路遭土石坍方(長5公尺*寬3公尺)影響單向通車統埔電線桿倒塌福安路路樹倒塌,1001323
141130,2016-9-15 07:20,莫蘭蒂颱風,rock fall,121.105511,22.753865,臺東縣,臺東市,台東縣台東市台東大橋,臺東大橋土石崩落 ==================== 2016/09/15 07:20:10 - 報案人謝先生轉述：該地點道路落石影響交通安全。 ,1001401
140875,2016-9-15 07:10,莫蘭蒂颱風,debris flow,121.053547,22.753158,臺東縣,臺東市,臺東縣臺東市青海路一段280號,土石流沖進民宅,1001401
141138,2016-9-15 07:10,莫蘭蒂颱風,debris flow,121.053547,22.753158,臺東縣,臺東市,臺東縣臺東市青海路一段280號,臺東市建和里青海路一段280號土石流沖入民宅 ==================== 土石流沖進民宅 ,1001401
140890,2016-9-15 07:04,莫蘭蒂颱風,debris flow,121.063654,22.893495,臺東縣,延平鄉,臺東縣延平鄉紅葉村,紅葉村東36縣松楓橋往紅葉部落路段土石崩落，目前人車無法通行。,1001413
141229,2016-9-15 07:04,莫蘭蒂颱風,debris flow,121.063654,22.893495,臺東縣,延平鄉,臺東縣延平鄉紅葉村,第二次-紅葉村東36縣瓦剛橋前土石流，目前人車無法通行,1001413
140902,2016-9-15 06:52,莫蘭蒂颱風,slope slump,120.923553,22.464102,臺東縣,達仁鄉,臺東縣達仁鄉台?村,通往台?路段明隧道坍方聯外道路中斷，已聯絡開口契約廠商處理中,1001415
140905,2016-9-15 06:50,莫蘭蒂颱風,debris flow,121.00756,22.88668,臺東縣,延平鄉,臺東縣延平鄉,桃源村舊鹿鳴，王克強、胡哲瑋、胡文華宅旁土石流，沖毀道路難以通行，目前水尚從山上流。,1001413
140688,2016-9-15 06:37,莫蘭蒂颱風,road blockage,121.316762,23.433869,花蓮縣,卓溪鄉,花蓮縣卓溪鄉立山村,道路落石,1001513
140695,2016-9-15 06:34,莫蘭蒂颱風,road blockage,121.347337,23.436027,花蓮縣,卓溪鄉,花蓮縣卓溪鄉崙山村,道路有落石,1001513
